rm_name,rm_type,lat,lng,source,beds,alt_name
Shri Brisheshwar Prathamik Vidyalaya,school,27.7306,85.1487,OSM infrastructure,,
Shri Uduwadevi Pragya Prathamik Vidyalaya,school,27.7313,85.1119,OSM infrastructure,,
Shri Janta Prathamik Vidyalaya,school,27.7401,85.1177,OSM infrastructure,,
Shri Amar Jyoti Nimna Madhyamik Vidyalaya,school,27.7369,85.1048,OSM infrastructure,,
Shree kaule Prathamik Vidyalaya,school,27.7192,85.1274,OSM infrastructure,,
Barahi Prathamik Vidyalaya,school,27.7370,85.0919,OSM infrastructure,,
ग्लोबल स्टडी पार्टनर्स नेपाल,school,27.7008,85.3238,OSM infrastructure,,
,school,27.8562,85.3232,OSM infrastructure,,
Bageshwari Pra Vi,school,27.9713,84.9208,OSM infrastructure,,
Gyanodaya Ni Ma Vi,school,27.9868,84.9196,OSM infrastructure,,
Shree Narayani Devi Pra Vi,school,27.9748,84.9417,OSM infrastructure,,
Shanti Kali Samudayik Pra Vi,school,27.9889,84.9489,OSM infrastructure,,
Niranjana Uchha Ma Vi,school,28.0069,84.9556,OSM infrastructure,,
Shree Kosinchet Pra Vi,school,28.0161,84.9818,OSM infrastructure,,
Shree Ghormu Balbikash kendra,school,27.9649,84.9816,OSM infrastructure,,
Shree Kanya Devi Pra V,school,28.1851,85.0824,OSM infrastructure,,
Samten Chholing Gonpa Pra V,school,28.1981,85.1166,OSM infrastructure,,
Shree Sangharsa Pra V,school,28.1405,85.0330,OSM infrastructure,,
Shree Tengchet Ni Ma V,school,28.1341,85.0222,OSM infrastructure,,
Shree Deurali Pra V,school,28.1184,84.9812,OSM infrastructure,,
Shree Nevar Pra V,school,28.2176,85.0632,OSM infrastructure,,
Shree Kunnesori Pra V,school,27.8144,84.9024,OSM infrastructure,,
Shree Jalpa Ni Ma V,school,27.8209,84.9063,OSM infrastructure,,
Shree Kalika Pra V,school,27.8136,84.9231,OSM infrastructure,,
Shree Bhumeshwor Pra V,school,27.8260,84.9231,OSM infrastructure,,
Shri Satyawati Uchha Ma V,school,27.8107,84.9378,OSM infrastructure,,
Shree Lali Guras Pra V,school,27.7379,85.0626,OSM infrastructure,,
Shree Rastriya Pra V,school,27.7322,85.0633,OSM infrastructure,,
Shree Liti Mahakal Ma V,school,27.7166,85.0531,OSM infrastructure,,
Shree Kamrang Pra V,school,27.7063,85.0515,OSM infrastructure,,
Shree Sharada Pra V,school,27.7084,85.0664,OSM infrastructure,,
Shree Mahakali Ma V,school,27.7171,85.0646,OSM infrastructure,,
Shree Chandibhumi Pra V,school,27.7243,85.0592,OSM infrastructure,,
Shree Shiva Shankar Pra V,school,27.7220,85.0828,OSM infrastructure,,
Shree Adarsha Ma V,school,27.7160,85.0887,OSM infrastructure,,
Shree Mahendrodaya Ni Ma V,school,27.7654,85.2372,OSM infrastructure,,
Shree Jiwanpur Kulchandra Ni Ma V,school,27.7589,85.1577,OSM infrastructure,,
Shri kewalpur Harihar Bhoj Kumari Ma V,school,27.7615,85.1031,OSM infrastructure,,
Shri Bagh Bhairab Ni Ma V,school,27.7626,85.0948,OSM infrastructure,,
Shree Dasharath Chandra Ma V,school,27.7338,85.1959,OSM infrastructure,,
Shri Bhanubhakta Ni Ma V,school,27.7405,85.2119,OSM infrastructure,,
Shree Bhadrapuri Sanakisan Pra V,school,27.7306,85.2133,OSM infrastructure,,
Shree Narayan Ni Ma V,school,27.7498,85.2094,OSM infrastructure,,
Shri Mahankaleswari Ma V,school,27.7602,85.1997,OSM infrastructure,,
Shree Trikureswori Ni Ma V,school,27.7525,85.1765,OSM infrastructure,,
Shree Nawa Prativa Pra V,school,27.7600,85.1701,OSM infrastructure,,
Shri Dhunibesi Adarsha Campus,school,27.7433,85.1928,OSM infrastructure,,
Shri Maheshdharma HSS,school,27.7415,85.1899,OSM infrastructure,,
Shri Mahadevsthan Ma V,school,27.7347,85.1696,OSM infrastructure,,
Shri Sharda Ni Ma V,school,27.7356,85.1575,OSM infrastructure,,
Shree Khaireni Ni Ma V,school,27.7559,85.1359,OSM infrastructure,,
Shree Kalika Pra V,school,27.7475,85.1550,OSM infrastructure,,
Shree Jyoti Secondery School,school,27.7513,85.1227,OSM infrastructure,,
Shree Goganpani Ma V,school,27.7852,85.0516,OSM infrastructure,,
Shree Saraswati Pra V,school,27.7455,85.1334,OSM infrastructure,,
Shri Goganpani Ni Ma V,school,27.7684,85.0830,OSM infrastructure,,
Shree Asare Pra V,school,27.7814,85.0779,OSM infrastructure,,
Shri Janajagriti Pra V,school,27.7550,85.0521,OSM infrastructure,,
Shri Barahi Pra V,school,27.7487,85.1004,OSM infrastructure,,
Shree Jwaladevi Pra V,school,27.8018,85.0187,OSM infrastructure,,
Shri Baghbachhala Pra V,school,27.7679,85.0575,OSM infrastructure,,
Shri Himalchuli Pra V,school,27.7616,85.0717,OSM infrastructure,,
Shree Nawalpur Pra Vi,school,27.8500,84.9108,OSM infrastructure,,
Shr Saraswati Uchha Ma Vi,school,27.9361,84.9746,OSM infrastructure,,
Shree Dhuseni Pra Vi,school,27.8940,84.9880,OSM infrastructure,,
Shree kanya Devi Pra Vi,school,27.8933,84.9698,OSM infrastructure,,
Shree Raghu Ni Ma V,school,27.8583,84.9411,OSM infrastructure,,
