dt,lon,lat,percent_change
2026-08-26_0800,85.6604,27.71271,24.87
2026-08-26_0800,84.935303,27.907058,23.76
2026-08-26_0800,85.111084,27.771051,-19.05
2026-08-26_0800,85.155029,27.868216,-72.81
2026-08-26_0800,85.594482,27.84879,10.43
2026-08-26_0800,84.91333,27.790491,-65.0
2026-08-26_0800,85.792236,27.73216,15.28
2026-08-26_0800,85.396729,27.907058,-11.38
2026-08-26_0800,85.067139,27.771051,-16.81
2026-08-26_0800,85.045166,27.751607,-13.34
2026-08-26_0800,85.57251,27.790491,15.61
2026-08-26_0800,84.935303,27.809927,-74.3
2026-08-26_0800,84.979248,27.790491,-16.49
2026-08-26_0800,85.264893,27.771051,10.99
2026-08-26_0800,85.704346,27.73216,40.09
2026-08-26_0800,85.133057,27.887639,-71.14
2026-08-26_0800,85.792236,27.82936,22.89
2026-08-26_0800,85.24292,27.887639,-56.62
2026-08-26_0800,85.594482,27.868216,11.11
2026-08-26_0800,85.550537,27.907058,12.36
2026-08-26_0800,85.836182,27.71271,24.18
2026-08-26_0800,85.374756,27.926474,-57.43
2026-08-26_0800,85.023193,27.771051,-36.38
2026-08-26_0800,85.24292,27.809927,-60.39
2026-08-26_0800,85.133057,27.907058,-50.94
2026-08-26_0800,85.550537,27.887639,10.74
2026-08-26_0800,85.111084,27.945886,-70.72
2026-08-26_0800,85.308838,27.809927,11.04
2026-08-26_0800,85.286865,27.790491,14.37
2026-08-26_0800,85.440674,27.771051,12.78
2026-08-26_0800,85.023193,27.73216,-11.87
2026-08-26_0800,85.528564,27.84879,11.56
2026-08-26_0800,85.6604,27.926474,-17.22
2026-08-26_0800,85.286865,27.771051,10.46
2026-08-26_0800,85.045166,27.790491,-23.34
2026-08-26_0800,85.616455,27.82936,24.51
2026-08-26_1600,85.198975,27.82936,-18.9
2026-08-26_1600,85.506592,27.790491,12.89
2026-08-26_1600,85.24292,27.887639,-48.02
2026-08-26_1600,85.352783,27.926474,-14.46
2026-08-26_1600,85.308838,27.907058,-21.06
2026-08-26_1600,85.133057,27.926474,-71.45
2026-08-26_1600,85.748291,27.71271,12.37
2026-08-26_1600,85.264893,27.790491,11.88
2026-08-26_1600,85.792236,27.771051,24.25
2026-08-26_1600,85.770264,27.907058,-10.57
2026-08-26_1600,85.506592,27.887639,21.17
2026-08-26_1600,85.594482,27.771051,15.72
2026-08-26_1600,85.792236,27.82936,17.85
2026-08-26_1600,85.506592,27.84879,20.43
2026-08-26_1600,84.935303,27.809927,-76.3
2026-08-26_1600,84.979248,27.790491,-19.25
2026-08-26_1600,85.550537,27.907058,11.63
2026-08-26_1600,85.528564,27.790491,10.77
2026-08-26_1600,85.550537,27.790491,18.84
2026-08-26_1600,85.6604,27.809927,21.82
2026-08-26_1600,85.638428,27.71271,10.34
2026-08-26_1600,85.528564,27.82936,17.48
2026-08-26_1600,85.133057,27.887639,-76.77
2026-08-26_1600,85.6604,27.907058,36.57
2026-08-26_1600,85.198975,27.887639,-34.94
2026-08-26_1600,85.286865,27.887639,-41.82
2026-08-26_1600,85.155029,27.945886,-85.65
2026-08-26_1600,85.638428,27.926474,73.26
2026-08-26_1600,85.616455,27.907058,21.98
2026-08-26_1600,85.308838,27.945886,-23.42
2026-08-26_1600,85.177002,27.907058,-62.41
2026-08-26_1600,85.594482,27.809927,10.22
2026-08-26_1600,85.418701,27.809927,18.25
2026-08-26_1600,85.220947,27.945886,-63.85
