lon,lat,2026-08-26_0000,2026-08-26_0800,2026-08-26_1600,2026-08-27_0000,2026-08-27_0800,2026-08-27_1600,2026-08-28_0000,2026-08-28_0800,2026-08-28_1600,2026-08-29_0000,2026-08-29_0800,2026-08-29_1600,2026-08-30_0000,2026-08-30_0800,2026-08-30_1600,2026-08-31_0000,2026-08-31_0800,2026-08-31_1600,2026-09-01_0000,2026-09-01_0800,2026-09-01_1600,2026-09-02_0000,2026-09-02_0800,2026-09-02_1600,2026-09-03_0000,2026-09-03_0800,2026-09-03_1600,2026-09-04_0000,2026-09-04_0800,2026-09-04_1600,2026-09-05_0000,2026-09-05_0800,2026-09-05_1600,2026-09-06_0000,2026-09-06_0800,2026-09-06_1600
85.023193,27.9847,,,,,,,,,,,,,-28.56,,,-34.55,,,-20.2,,,,,,,-10.72,,12.17,,,,,24.73,17.35,,
85.023193,28.0235,,,,-62.27,,-44.71,-47.27,,-53.6,-46.18,,-45.09,-30.42,-38.31,-22.74,16.3,-23.65,,21.06,,14.69,11.55,,,19.38,,,,,,,-15.81,25.5,10.34,-17.18,10.51
85.023193,28.042894,,,,,,,,,,,,,,,,,,,19.23,,,,,,14.65,,,,,,19.16,,33.68,19.3,,
85.045166,27.71271,13.39,,,,,,,,,,,,,,10.34,,,,,,,12.92,,,-17.27,,-19.29,-13.34,,-16.06,-10.53,,,,,
85.045166,27.73216,13.48,,10.51,,,,,,,,-14.58,,,,,,-24.71,,,-22.75,,,-13.63,,,-17.37,,-13.47,-15.85,-10.28,,-25.22,-15.18,,-20.99,
85.045166,27.751607,,-13.34,,,,,,-11.62,,,-15.96,-11.09,,-12.7,,,-34.3,,,-26.69,,,-16.2,,,-25.09,-12.1,-10.9,-11.95,,,-18.28,-12.35,-14.55,-17.9,
85.045166,27.771051,,-31.62,,,-18.34,,,-19.18,,,-24.26,-10.97,,-20.16,,,-42.33,,,-30.86,,-10.19,-33.04,,,-27.66,,,-27.16,,,-26.5,-12.36,,-31.15,
85.045166,27.790491,,-23.34,,13.37,,20.74,28.74,,16.28,,-20.45,,,,,,-30.51,,,-18.3,,,,,,-15.36,,,-23.25,,,-19.59,,-14.74,-26.37,-16.1
85.045166,27.809927,,,,,-20.68,,,,-17.92,-15.81,-23.2,-16.8,,,,,-28.94,-16.6,,-15.5,,,,,,,,,-20.9,-13.78,,,,,-24.58,
85.045166,27.82936,,,,-31.15,-24.0,-26.73,,,-14.85,-23.5,-26.33,-18.54,-13.71,-14.28,-14.4,-20.11,-37.85,-37.27,-19.28,-21.15,-15.58,,-10.33,-19.1,,-17.87,,,-17.33,-15.54,,,-15.55,-16.53,-24.71,
85.045166,27.84879,-78.74,,,-72.08,-59.57,-61.43,-55.89,-49.46,-49.35,-56.35,-62.46,-51.59,-54.4,-51.75,-49.12,-56.46,-58.95,-61.26,-59.82,-56.32,-55.51,-39.53,-36.88,-29.96,-30.22,-25.36,-25.98,-15.01,-22.49,-25.53,-18.27,-21.02,-26.58,-28.26,-29.38,-28.36
85.045166,27.868216,,,,,,,,,,-55.29,,,-59.39,,,,,,,,,-48.02,,-46.44,-41.68,,-43.22,-37.15,-33.75,-40.14,-32.39,-36.87,-35.79,-37.53,,-46.01
85.045166,27.887639,,,,,,,,,,,,,,,,,,,,,,,,,-13.8,,,-11.62,,,-14.53,,,-23.89,,
85.045166,27.907058,,,,,,,,,,,,,,,,,,,-32.2,-11.84,10.27,,-14.97,,,-14.85,,,-23.6,,-12.69,-24.06,10.35,,,22.86
85.045166,27.926474,,,,,,,,,,,,,,,,,,,-13.11,,12.43,12.69,,,11.51,,,,,,,,10.11,16.92,,
85.045166,27.945886,,,,,,,,,-38.39,,,,-44.66,-43.68,-25.65,-39.72,,-40.45,-14.32,,,,,,,-15.96,,,,,,,,13.43,-42.84,
85.045166,27.965294,,,,,,,,,,,,,,,,-33.13,,-26.93,,,,10.01,,,,,,12.29,-20.2,-13.87,-14.48,-12.26,,,,
85.045166,27.9847,,,,,,,,,,,,,,,,-20.4,,-10.85,,,,,,39.2,,-10.5,17.03,,,,-12.58,,,13.74,,19.49
